"PlayerID","PlayerName","TotalKills","TotalDeaths","TotalAssists","AverageACS","TotalGames"
"10",rhyme,2397,2174,780,223.5960,151
"100",ec1s,1342,1431,608,170.2642,108
"1000",crow,1140,1106,636,181.1556,90
"1001",barce,1024,998,401,186.5333,75
"10013",Arctic,27,57,5,139.5000,4
"10015",ViPER_,26,54,8,136.0000,4
"10016",ElocktheSock,28,60,9,150.0000,4
"10017",Beaglefat,34,57,9,189.5000,4
"10018",Vintage,26,57,11,136.5000,4
"10019",mikee,45,65,4,176.7500,4
"1002",takej,1519,1219,421,232.7000,90
"10020",koldqt,61,55,12,241.0000,4
"10021",SaP,18,34,8,148.0000,2
"10022",krayola,32,63,14,147.2500,4
"10023",Tesid,31,60,12,129.0000,4
"10025",Aura,389,439,143,212.3929,29
"10026",vital,84,107,16,190.8571,7
"10027",spring,18,27,5,185.5000,2
"10028",Kozmik,17,27,3,167.5000,2
"10029",mino,5,26,8,85.5000,2
"1003",Reita,1449,1209,306,226.5222,90
"10030",ClaymorePlatypus,13,27,3,146.0000,2
"10031",BODA,30,55,14,154.2500,4
"10032",BONICKALFGALINDO,18,28,5,153.0000,2
"10033",AmazingMan123,14,30,5,123.0000,2
"10034",cyclonecs,17,31,5,144.0000,2
"10035",CrazyMonkcs,15,30,2,142.5000,2
"10036",Angelo,10,27,3,92.5000,2
"10042",Syz,19,30,5,182.5000,2
"10043",Timburr,12,28,2,107.5000,2
"10044",Yolo,11,26,10,118.5000,2
"10048",Peejster,8,29,6,95.0000,2
"10049",Vibes,28,59,4,139.5000,4
"1005","2zzy",344,454,145,156.3929,29
"10050",Kodiak,19,27,5,185.0000,2
"10051",GLORIOUS,17,28,4,166.0000,2
"10052","2AM",10,28,5,104.5000,2
"10053",FireBallOps,845,772,189,234.9615,53
"10054","6pack",38,80,11,137.2000,5
"10055",Presy,11,27,8,125.0000,2
"10056",Alcpwn,8,29,6,83.5000,2
"10057",Volt,21,59,4,126.2500,4
"10058",Warmy,16,27,3,133.0000,2
"10059",pepe,15,29,1,150.5000,2
"1006",Flax,655,722,197,191.7826,47
"10060",Instxnct,12,28,4,124.0000,2
"1007",toru,129,179,79,181.5455,12
"10071",JGM,221,284,55,176.1000,20
"10072",SLACKER,11,27,9,124.0000,2
"10074",Swifts,156,242,57,165.2857,14
"1008",KuuKai,141,178,35,177.5455,12
"10082","666",43,43,18,210.0000,3
"10083",diav,47,71,30,141.4000,5
"10084",cjh,139,135,46,233.5000,8
"10085",DIEZAY,27,35,21,208.0000,2
"10086",Phucyy,174,244,107,169.6667,15
"10087",andr,187,251,72,167.6000,15
"10088",trungkb,305,310,82,199.2500,20
"10089",andy,572,472,140,246.9688,32
"1009",sakurai,389,338,73,243.2857,22
"10090",stevens,258,235,80,222.1429,14
"10091",Rx7,17,28,8,174.5000,2
"10092",reLOADED,642,651,297,207.7111,45
"10093",mech,12,29,3,125.0000,2
"10095",xixe,15,30,5,150.5000,2
"10096",DarKooh,20,27,2,191.5000,2
"101",soulcas,2375,2203,994,196.7246,169
"1010",Zerost,514,491,145,203.5000,34
"10101",dothem,67,94,24,148.8333,6
"10102",Natroff,12,27,4,117.5000,2
"10104",spex,13,29,1,138.5000,2
"10106",t1n,17,27,3,160.5000,2
"10109",wisekhan,10,28,6,108.5000,2
"1011",Aktm,12,9,4,204.0000,1
"10117",JevLes,10,30,5,121.0000,2
"10118",W4siLi,139,203,72,136.6923,13
"10119",JewNNN,73,58,23,253.5000,4
"1012",himajun,143,133,24,215.9000,10
"10125",qw1,1013,803,145,253.2222,54
"10126",mt1xo,184,255,77,162.8125,16
"10127",jonx,666,644,172,219.2821,39
"1013",Flame,88,97,37,171.3750,8
"10136",CNKa,233,229,49,235.3571,14
"10137",ip0TT,417,403,137,205.6207,29
"10138",them1s,94,121,51,168.7500,8
"10139",Wizard,190,246,95,167.7500,16
"1014",Pepper,632,571,133,218.3250,40
"10141",SnapS,67,88,25,204.0000,5
"10142",SherX,34,50,23,173.0000,3
"10143",VASQUEZ,93,139,32,147.3333,9
"10144",SquaLw0w,37,51,6,167.3333,3
"10146",reazy,346,325,118,228.0500,20
"10153",NecroMyThe,29,36,13,167.5000,2
"10155",corr0,493,722,355,141.8542,48
"10156",DubzWoW,677,723,223,223.4419,43
"10157",Vee,26,31,5,223.5000,2
"10158",ibli5,91,126,54,161.8750,8
"1016","4qu1la",188,221,103,183.0000,15
"10160",Izzy,1071,861,200,239.7258,62
"10161",QutionerX,523,456,110,237.8710,31
"10162",macRue,63,95,22,161.1667,6
"10163",CyderX,348,401,202,160.1290,31
"10164",LeoUmarkuLoV,39,43,8,180.3333,3
"10165",Rasney,37,33,20,230.5000,2
"1017",Temple,40,81,18,139.2000,5
"10172",Pixelzz,245,289,96,173.3684,19
"1018",sdk,31,46,12,127.3333,3
"10183",VJT,87,135,28,160.2222,9
"10186",pinck,75,56,37,230.0000,4
"10187",Merieux,123,137,40,218.8889,9
"10188",citrous,92,130,54,152.1111,9
"1019",yelo,40,39,18,174.3333,3
"10190",GabbyDiz,30,27,8,229.0000,2
"10193",FleX,19,16,4,224.0000,1
"10194",skwamy,30,30,7,181.0000,2
"10195",Matteo,35,34,10,245.5000,2
"10196",yabba,19,31,12,136.0000,2
"1020",Scythe,30,40,36,153.3333,3
