"TeamID","Team","TotalWins"
"100",A$AP,2
"1001",Team Heretics,76
"1006",unKnown,1
"1007",Revolution,2
"101",Paraplegic Buffalos,2
"1010",Inside Games,13
"1011",ZEITGEIST,2
"1012",avg25iq,1
"1019",fostercare,2
"1020",CrowСrowd,20
"1021",Vengeance,7
"1025",ZFGaming,10
"1026",Hollywood Hooliganz,2
"103",Immortals,146
"1030",Take Flyte,12
"1033",Reckoning Esports,7
"1034",NRG Esports,112
"1035",Cream Real Betis,29
"104",REJECT,58
"1049",re'born,1
"1054",THE START W,3
"1057",aNg DarkHorse,10
"1059",SeolHaeOne Prince,1
"106",TSM,171
"1061",Rover,2
"1063",S2V Esports,2
"1066",NerdTown eSport,4
"1071",unsigned,17
"1074","200 Policemen",2
"1077",BDV,2
"108",forZe,82
"1082",Kamil Klein new chapter,2
"109",FABRIKEN,19
"1090",Tarren Mill,11
"1097",FlyToMoon,3
"11",Obey Alliance,1
"110",FishkaVTom,20
"1106",Overtime Esports,9
"1107",King of Gamers,5
"111",Charlotte Phoenix,6
"1110",Alter Ego,73
"1111",MiTH.Streamer,3
"1116",SUPERFLY,1
"1117",Grapefruit Techniques,11
"1119",All Gamers,1
"112",Team ocheon2,1
"1120",EDward Gaming,25
"1122",Vandal Only,1
"1124",RED Canids,3
"1132",CoreNine Esports,1
"1139",BE INFAMOUS,3
"1140",TUBEPLE Gaming,18
"1146",Godlike Esports,21
"1148",CH1LL,1
"1150",MAJSTERSZTYK,2
"1151",Team Empire ,15
"1152",Equinox Esports,45
"1153",PROPARTY,3
"1163",Arctic Gaming,5
"1164",Awake Esports,1
"1166",Time In,30
"1170",Stars,1
"1174",Yendez,15
"1175",bref,4
"1182",Daytrade Gaming,2
"1184",Futbolist,73
"1189",eXiLe eSports,7
"1190",MJAOMODE,7
"12",Team Sonii,1
"120","100 Thieves",102
"1202",R!OT Gaming,4
"1204",Paratroops,3
"1206",Legacy Esports,5
"1207",Gravitas,7
"1208",ORDER,86
"1209",Guild Esports,55
"1211",Totoro Gaming,36
"1224",Team Weibo,28
"1229",PARA LAZIM,1
"1230",HaZe Clan,7
"1232",VETERANOS e-Sports,1
"1233",Italian Hope,2
"1234",Team Sampi,21
"1237",Sangal Esports,17
"124",Team Valkia,2
"1240",Team Name,4
"1242",Illinois Servers Please,6
"1245",TradeLikePros Gold,2
"1246",DREAMLAND,7
"1247",Dog Team Needs Club Org,1
"1248",TradeLikePros Red,1
"1249",Decent Esports,4
"125",Team Ryux,1
"1250",Winfinity,3
"1251",Guess,1
"1252",Emerald Gaming,1
"1253",Eazy One Gaming,6
"1256",Nice Cars,3
